IPHONES AS / EL MEJOR PRECIO EN UN SOLO LUGAR,,,,,,,,,,"COTIZACION 
DOLAR",1580,,STOCK,OCULTAR
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,EQUIPOS AL 100% consultar batería cambiada ,,,,
,,,,,,,,,,,,,,
SELECCION USADOS ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MODELO,GB,BATERIA,COLOR,,DOLARES,PESOS,6 CUOTAS ,12 CUOTAS,DETALLE,,,,,
"MACBOOK PRO M5 14"" 1TB 10/10 GPU/CPU 32RAM",,,$2.760,,$4.360.800,CONSULTAR,"$1.141.076,00","$694.094,00",,,,,,
,,,,,,,,,,,,,,
"MACBOOK PRO M5 PRO 14"" 1TB 24RAM",,,$2.820,,$4.455.600,CONSULTAR,"$1.165.882,00","$709.183,00",,,,,,
"MACBOOK PRO M5 PRO 14"" 2TB 24RAM",,,$3.420,,$5.403.600,CONSULTAR,"$1.413.942,00","$860.073,00",,,,,,
"MACBOOK PRO M5 PRO 14"" 2TB 24RAM 20 core gpu",,,$3.670,,$5.798.600,CONSULTAR,"$1.517.300,33","$922.943,83",,,,,,
"MACBOOK PRO M5 PRO 14"" 1TB 48RAM 16 core gpu",,,$3.730,,$5.893.400,CONSULTAR,"$1.542.106,33","$938.032,83",,,,,,
"MACBOOK PRO M5 PRO 16"" 1TB 24RAM 20 core gpu",,,$3.320,,$5.245.600,CONSULTAR,"$1.372.598,67","$834.924,67",,,,,,
"MACBOOK PRO M5 PRO 16"" 1TB 48RAM 20 core gpu",,,$4.220,,$6.667.600,CONSULTAR,"$1.744.688,67","$1.061.259,67",,,,,,
MACBOOK pro m5 max consultar,,,,,,,,,,,,,,
MAGIC MOUSE  U$120,,,,,,,,,,,,,,
"MOUSE bluetooth.    $7,000",,,,,,,,,,,,,,
DEMAS MODELOS CONSULTAR,,,,,,,,,,,,,,
IMAC 24 M4 24/512GB U$2650,,,,,,,,,,,,,,
Mac Mini M4 16 - 256GB (10core CPU / 10core GPU) u$1090,,,,,,,,,,,,,,
