prioridad,archivo_a_subir,referencia,producto,marca,modelo,capacidad,color,categoria,motivo
2,A295.jpg,A295,Xiaomi Redmi 15C 256 GB,Xiaomi,Xiaomi Redmi 15C,256 GB,,Android,La lámina no incluye este modelo exacto
2,A292.jpg,A292,Xiaomi Redmi Note 15 128 GB,Xiaomi,Xiaomi Redmi Note 15,128 GB,,Android,La lámina no incluye este modelo exacto
2,A290.jpg,A290,Xiaomi Redmi Note 15 256 GB,Xiaomi,Xiaomi Redmi Note 15,256 GB,,Android,La lámina no incluye este modelo exacto
2,A291.jpg,A291,Xiaomi Redmi Note 15 256 GB,Xiaomi,Xiaomi Redmi Note 15,256 GB,,Android,La lámina no incluye este modelo exacto
2,A288.jpg,A288,Xiaomi Redmi Note 15 Pro 256 GB,Xiaomi,Xiaomi Redmi Note 15 Pro,256 GB,,Android,La lámina no incluye este modelo exacto
2,A289.jpg,A289,Xiaomi Redmi Note 15 Pro 256 GB,Xiaomi,Xiaomi Redmi Note 15 Pro,256 GB,,Android,La lámina no incluye este modelo exacto
2,A286.jpg,A286,Xiaomi Redmi Note 15 Pro 512 GB,Xiaomi,Xiaomi Redmi Note 15 Pro,512 GB,,Android,La lámina no incluye este modelo exacto
2,A287.jpg,A287,Xiaomi Redmi Note 15 Pro 512 GB,Xiaomi,Xiaomi Redmi Note 15 Pro,512 GB,,Android,La lámina no incluye este modelo exacto
2,A285.jpg,A285,Xiaomi Redmi Note 15 Pro + 256 GB,Xiaomi,Xiaomi Redmi Note 15 Pro +,256 GB,,Android,La lámina no incluye este modelo exacto
2,A284.jpg,A284,Xiaomi Redmi Note 15 Pro + 512 GB,Xiaomi,Xiaomi Redmi Note 15 Pro +,512 GB,,Android,La lámina no incluye este modelo exacto
3,A345.jpg,A345,Lenovo Idea Tab Pro 12.7 256 GB,Lenovo,Lenovo Idea Tab Pro 12.7,256 GB,,Tablets,La lámina no incluye este modelo exacto
3,A357.jpg,A357,"Samsung Tab A11 8.7"" 64 GB",Samsung,"Samsung Tab A11 8.7""",64 GB,,Tablets,La lámina no incluye este modelo exacto
3,A355.jpg,A355,Samsung Tab A11+ 256 GB,Samsung,Samsung Tab A11+,256 GB,,Tablets,La lámina no incluye este modelo exacto
3,A356.jpg,A356,"Samsung Tab A11+ 11"" 128 GB",Samsung,"Samsung Tab A11+ 11""",128 GB,,Tablets,La lámina no incluye este modelo exacto
3,A358.jpg,A358,"Samsung Tab A9+ 11"" 64 GB",Samsung,"Samsung Tab A9+ 11""",64 GB,,Tablets,La lámina no incluye este modelo exacto
3,A353.jpg,A353,Samsung Tab S10 FE + Pen 128 GB,Samsung,Samsung Tab S10 FE + Pen,128 GB,,Tablets,La lámina no incluye este modelo exacto
3,A352.jpg,A352,Samsung Tab S10 FE + Pen 256 GB,Samsung,Samsung Tab S10 FE + Pen,256 GB,,Tablets,La lámina no incluye este modelo exacto
3,A354.jpg,A354,Samsung Tab S10 Lite + Pen 128 GB,Samsung,Samsung Tab S10 Lite + Pen,128 GB,,Tablets,La lámina no incluye este modelo exacto
3,A351.jpg,A351,Samsung Tab S11 14.6 + Pen 128 GB,Samsung,Samsung Tab S11 14.6 + Pen,128 GB,,Tablets,La lámina no incluye este modelo exacto
3,A350.jpg,A350,Samsung Tab S11 Ultra 14.6 + Pen 256 GB,Samsung,Samsung Tab S11 Ultra 14.6 + Pen,256 GB,,Tablets,La lámina no incluye este modelo exacto
3,A349.jpg,A349,"Xiaomi Tablet Redmi Pad 2 SE 11"" 128 GB",Xiaomi,"Xiaomi Tablet Redmi Pad 2 SE 11""",128 GB,,Tablets,La lámina no incluye este modelo exacto
3,A348.jpg,A348,"Xiaomi Tablet Redmi Pad 2 SE 11"" 256 GB",Xiaomi,"Xiaomi Tablet Redmi Pad 2 SE 11""",256 GB,,Tablets,La lámina no incluye este modelo exacto
3,A347.jpg,A347,"Xiaomi Tablet Redmi Pad Pro 2 12.1"" 128 GB",Xiaomi,"Xiaomi Tablet Redmi Pad Pro 2 12.1""",128 GB,,Tablets,La lámina no incluye este modelo exacto
3,A346.jpg,A346,"Xiaomi Tablet Redmi Pad Pro 2 12.1"" 256 GB",Xiaomi,"Xiaomi Tablet Redmi Pad Pro 2 12.1""",256 GB,,Tablets,La lámina no incluye este modelo exacto
4,A198.jpg,A198,"MacBook Air 13,6 M5 1 TB",Apple,"MacBook Air 13,6 M5",1 TB,,Notebooks,La lámina no incluye este modelo exacto
4,A197.jpg,A197,"MacBook Air 13,6 M5 512 GB",Apple,"MacBook Air 13,6 M5",512 GB,,Notebooks,La lámina no incluye este modelo exacto
4,A199.jpg,A199,"MacBook Air 15,3 M5",Apple,"MacBook Air 15,3 M5",,,Notebooks,La lámina no incluye este modelo exacto
4,A200.jpg,A200,"MacBook Air 15,3 M5 1 TB",Apple,"MacBook Air 15,3 M5",1 TB,,Notebooks,La lámina no incluye este modelo exacto
4,A195.jpg,A195,"MacBook Neo 13"" 256 GB",Apple,"MacBook Neo 13""",256 GB,,Notebooks,La lámina no incluye este modelo exacto
4,A196.jpg,A196,"MacBook Neo 13"" 512 GB",Apple,"MacBook Neo 13""",512 GB,,Notebooks,La lámina no incluye este modelo exacto
4,A201.jpg,A201,"MacBook Pro M5 14""",Apple,"MacBook Pro M5 14""",,,Notebooks,La lámina no incluye este modelo exacto
4,A202.jpg,A202,"MacBook Pro M5 14""",Apple,"MacBook Pro M5 14""",,,Notebooks,La lámina no incluye este modelo exacto
4,A203.jpg,A203,"MacBook Pro M5 14""",Apple,"MacBook Pro M5 14""",,,Notebooks,La lámina no incluye este modelo exacto
4,A204.jpg,A204,"MacBook Pro M5 14""",Apple,"MacBook Pro M5 14""",,,Notebooks,La lámina no incluye este modelo exacto
4,A205.jpg,A205,"MacBook Pro M5 Pro 14""",Apple,"MacBook Pro M5 Pro 14""",,,Notebooks,La lámina no incluye este modelo exacto
4,A206.jpg,A206,"MacBook Pro M5 Pro 14""",Apple,"MacBook Pro M5 Pro 14""",,,Notebooks,La lámina no incluye este modelo exacto
4,A207.jpg,A207,"MacBook Pro M5 Pro 14""",Apple,"MacBook Pro M5 Pro 14""",,,Notebooks,La lámina no incluye este modelo exacto
4,A208.jpg,A208,"MacBook Pro M5 Pro 14""",Apple,"MacBook Pro M5 Pro 14""",,,Notebooks,La lámina no incluye este modelo exacto
4,A209.jpg,A209,"MacBook Pro M5 Pro 16""",Apple,"MacBook Pro M5 Pro 16""",,,Notebooks,La lámina no incluye este modelo exacto
4,A210.jpg,A210,"MacBook Pro M5 Pro 16""",Apple,"MacBook Pro M5 Pro 16""",,,Notebooks,La lámina no incluye este modelo exacto
4,A319.jpg,A319,"Notebook Asus Vivobook Go 15.6""",Asus,"Notebook Asus Vivobook Go 15.6""",,,Notebooks,La lámina no incluye este modelo exacto
4,A314.jpg,A314,"Notebook Dell 15,6""",Dell,"Notebook Dell 15,6""",,,Notebooks,La lámina no incluye este modelo exacto
4,A315.jpg,A315,"Notebook HP 15,6""",HP,"Notebook HP 15,6""",,,Notebooks,La lámina no incluye este modelo exacto
4,A317.jpg,A317,"Notebook Lenovo 14""",Lenovo,"Notebook Lenovo 14""",,,Notebooks,La lámina no incluye este modelo exacto
